country_name,continent,latitude,longitude
Afghanistan,Asia,33.93911,67.70995
Albania,Europe,41.15333,20.16833
Algeria,Africa,28.03389,1.659626
Andorra,Europe,42.50629,1.521801
Angola,Africa,-11.2027,17.87389
Antigua and Barbuda,North America,17.06082,-61.7964
Argentina,South America,-38.4161,-63.6167
Armenia,Asia,40.0691,45.03819
Australia,Oceania,-25.2744,133.7751
Austria,Europe,47.51623,14.55007
Azerbaijan,Asia,40.14311,47.57693
Bahamas,North America,25.03428,-77.3963
Bahrain,Asia,25.93041,50.63777
Bangladesh,Asia,23.68499,90.35633
Barbados,North America,13.19389,-59.5432
Belarus,Europe,53.70981,27.95339
Belgium,Europe,50.50389,4.469936
Belize,North America,17.18988,-88.4977
Benin,Africa,9.30769,2.315834
Bhutan,Asia,27.51416,90.4336
Bolivia,South America,-16.2902,-63.5887
Bosnia and Herzegovina,Europe,43.91589,17.67908
Botswana,Africa,-22.3285,24.68487
Brazil,South America,-14.235,-51.9253
Brunei,Asia,4.535277,114.7277
Bulgaria,Europe,42.73388,25.48583
Burkina Faso,Africa,12.23833,-1.56159
Burundi,Africa,-3.37306,29.91889
Cabo Verde,Africa,16.00208,-24.0132
Cambodia,Asia,12.56568,104.991
Cameroon,Africa,7.369722,12.35472
Canada,North America,56.13037,-106.347
Central African Republic,Africa,6.611111,20.93944
Chad,Africa,15.45417,18.73221
Chile,South America,-35.6751,-71.543
China,Asia,35.86166,104.1954
Colombia,South America,4.570868,-74.2973
Comoros,Africa,-11.875,43.87222
Congo (Congo-Brazzaville),Africa,-4.03833,21.75866
Costa Rica,North America,9.748917,-83.7534
Croatia,Europe,45.1,15.2
Cuba,North America,21.52176,-77.7812
Cyprus,Asia,35.12641,33.42986
Czechia,Europe,49.81749,15.47296
Democratic Republic of the Congo,Africa,-4.03833,21.75866
Denmark,Europe,56.26392,9.501785
Djibouti,Africa,11.82514,42.59028
Dominica,North America,15.415,-61.371
Dominican Republic,North America,18.73569,-70.1627
East Timor,Asia,-8.87422,125.7275
Ecuador,South America,-1.83124,-78.1834
Egypt,Africa,26.82055,30.8025
El Salvador,North America,13.79419,-88.8965
Equatorial Guinea,Africa,1.650801,10.2679
Eritrea,Africa,15.17938,39.78233
Estonia,Europe,58.59527,25.01361
Eswatini,Africa,-26.5225,31.46587
Ethiopia,Africa,9.145,40.48967
Fiji,Oceania,-16.5782,179.4144
Finland,Europe,61.92411,25.74815
France,Europe,46.60335,1.888334
Gabon,Africa,-0.80369,11.60944
Gambia,Africa,13.44318,-15.3101
Georgia,Asia,42.31541,43.35689
Germany,Europe,51.16569,10.45153
Ghana,Africa,7.946527,-1.02319
Greece,Europe,39.07421,21.82431
Grenada,North America,12.26278,-61.6042
Guatemala,North America,15.78347,-90.2308
Guinea,Africa,9.945587,-9.69665
Guinea-Bissau,Africa,11.80375,-15.1804
Guyana,South America,4.860416,-58.9302
Haiti,North America,18.97119,-72.2852
Holy See,Europe,41.90292,12.45339
Honduras,North America,15.2,-86.2419
Hungary,Europe,47.16249,19.5033
Iceland,Europe,64.96305,-19.0208
India,Asia,20.59368,78.96288
Indonesia,Asia,-0.78928,113.9213
Iran,Asia,32.42791,53.68805
Iraq,Asia,33.22319,43.67929
Ireland,Europe,53.41291,-8.24389
Israel,Asia,31.04605,34.85161
Italy,Europe,41.87194,12.56738
Ivory Coast,Africa,7.539989,-5.54708
